doc_id,source_type,word_count,file_size_kb
doc_000000,pdf,2607,8879.1
doc_000001,web,4622,9282.0
doc_000002,image,3169,1780.7
doc_000003,pdf,1078,8770.6
doc_000004,web,3196,1814.7
doc_000005,web,3780,3865.2
doc_000006,web,3538,3236.7
doc_000007,web,809,5317.2
doc_000008,image,2627,6104.3
doc_000009,web,1395,2518.3
doc_000010,image,3828,3365.4
doc_000011,audio,1409,9735.8
doc_000012,pdf,3308,5339.2
doc_000013,web,3565,9699.6
doc_000014,audio,2522,9953.8
doc_000015,pdf,824,4991.5
doc_000016,pdf,917,5500.5
doc_000017,pdf,2323,5145.0
doc_000018,audio,4954,226.2
doc_000019,image,139,9817.5
doc_000020,audio,4714,1797.9
doc_000021,web,4462,6393.8
doc_000022,web,2049,7783.4
doc_000023,audio,687,2443.2
doc_000024,pdf,3375,6141.5
doc_000025,image,1401,202.0
doc_000026,image,1722,4878.2
doc_000027,image,2063,6247.5
doc_000028,image,483,175.3
doc_000029,pdf,4954,2779.8
doc_000030,image,1109,4535.4
doc_000031,pdf,3491,7646.0
doc_000032,web,9,3869.3
doc_000033,pdf,111,2146.9
doc_000034,web,2036,2024.2
doc_000035,image,3832,2969.5
doc_000036,audio,1405,2920.4
doc_000037,web,2538,981.1
doc_000038,web,3904,9400.5
doc_000039,pdf,894,9377.8
doc_000040,audio,4471,631.0
doc_000041,web,3341,9581.2
doc_000042,pdf,3732,1693.2
doc_000043,image,4264,2808.5
doc_000044,web,79,5516.7
doc_000045,image,1049,9710.5
doc_000046,web,889,8375.2
doc_000047,web,3782,4675.5
doc_000048,audio,4385,4586.7
doc_000049,web,3569,332.6
doc_000050,pdf,2992,9117.4
doc_000051,image,3629,60.9
doc_000052,image,2114,6158.4
doc_000053,image,667,9804.4
doc_000054,web,184,3726.8
doc_000055,pdf,4617,7017.7
doc_000056,web,2267,5638.1
doc_000057,audio,2738,9985.7
doc_000058,pdf,1730,9533.3
doc_000059,web,3977,5025.7
doc_000060,web,971,966.5
doc_000061,audio,4449,6301.9
doc_000062,web,4009,8680.9
doc_000063,audio,162,9830.7
doc_000064,web,2085,6595.7
doc_000065,pdf,4686,9619.5
doc_000066,audio,648,6392.9
doc_000067,pdf,4603,4533.6
doc_000068,pdf,739,285.8
doc_000069,pdf,1162,5568.7
doc_000070,image,1939,9885.9
doc_000071,image,990,8366.6
doc_000072,audio,927,2666.9
doc_000073,pdf,2892,3904.6
doc_000074,pdf,3813,2030.5
doc_000075,image,2964,3050.0
doc_000076,web,2223,7728.1
doc_000077,pdf,2889,2315.0
doc_000078,image,2974,6551.4
doc_000079,audio,3118,4984.2
doc_000080,audio,1862,328.8
doc_000081,web,115,1908.0
doc_000082,pdf,1607,8874.4
doc_000083,image,4027,5765.7
doc_000084,image,113,3189.9
doc_000085,web,4591,7287.3
doc_000086,image,3242,3003.2
doc_000087,image,2593,3850.7
doc_000088,web,2234,6833.2
doc_000089,audio,451,1636.8
doc_000090,web,2559,8318.1
doc_000091,web,124,1783.1
doc_000092,audio,3559,9006.5
doc_000093,audio,3066,8196.1
doc_000094,web,1677,7595.4
doc_000095,pdf,4473,294.9
doc_000096,audio,2539,7426.2
doc_000097,web,4005,668.3
doc_000098,image,440,3474.6
doc_000099,pdf,2199,8828.4
doc_000100,image,3770,1122.6
doc_000101,audio,1508,1234.3
doc_000102,pdf,1071,8339.1
doc_000103,web,4433,8661.0
doc_000104,pdf,3537,4706.1
doc_000105,audio,4818,404.0
doc_000106,pdf,4438,4701.0
doc_000107,web,841,672.9
doc_000108,web,1068,6434.4
doc_000109,pdf,4282,7136.4
doc_000110,web,16,1260.9
doc_000111,pdf,2309,1385.5
doc_000112,pdf,4220,6725.2
doc_000113,pdf,839,8257.0
doc_000114,pdf,604,4744.7
doc_000115,audio,1663,8286.6
doc_000116,web,150,5890.1
doc_000117,pdf,1256,4973.6
doc_000118,web,200,9986.7
doc_000119,audio,4080,5474.2
doc_000120,web,1137,5740.9
doc_000121,web,4425,2816.1
doc_000122,image,1190,3606.2
doc_000123,image,3105,4670.9
doc_000124,image,2975,9484.8
doc_000125,pdf,2160,9691.5
doc_000126,image,2381,9036.0
doc_000127,image,2406,2029.2
doc_000128,image,2128,861.0
doc_000129,web,4342,2176.2
doc_000130,pdf,1217,6882.5
doc_000131,web,2376,4670.0
doc_000132,image,951,50.9
doc_000133,audio,3187,119.4
doc_000134,pdf,3070,8175.9
doc_000135,image,3168,9442.6
doc_000136,audio,4011,3309.3
doc_000137,pdf,1420,4070.9
doc_000138,audio,2381,699.4
doc_000139,pdf,4522,523.9
doc_000140,image,1917,996.7
