id,title,release_date,popularity,text,genre,release_year,director,budget_usd,revenue_usd,rating_imdb,country,Total Movies,Average Rating,Total Revenue,Total Budget,year,awards,nominations,best_picture,year_scraped,raw_text,processed_text,name,wins,losses,win_pct,goals_for,goals_against,page_scraped,vote_average,vote_count,original_language,overview,genre_ids,adult,video,original_title
1084242,Zootopia 2,2025-11-26,171.7147,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
126889,Alien: Covenant,2017-05-09,49.8742,,,2017,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1167307,David,2025-12-14,62.9864,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1119449,"Good Luck, Have Fun, Don't Die",2026-02-13,102.3336,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1291335,Solo Mio,2026-02-05,49.403,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1062722,Frankenstein,2025-10-17,63.9663,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
755898,War of the Worlds,2025-07-29,100.0098,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
687163,Project Hail Mary,2026-03-13,100.5315,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
121872,Ginger & Rosa,2012-10-18,64.1834,,,2012,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1171145,Crime 101,2026-02-11,104.6717,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
803796,KPop Demon Hunters,2025-06-20,61.3714,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1401778,Turbulence,2025-11-26,49.8527,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1327819,Hoppers,2026-03-04,148.4862,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1317288,Marty Supreme,2025-12-19,72.8121,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1419406,The Shadow's Edge,2025-08-16,78.6013,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1601243,Oscar Shaw,2026-01-09,53.6679,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
81471,Tintorera: Killer Shark,1977-04-07,56.9613,,,1977,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1088434,Hellfire,2026-02-05,115.2882,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1236153,Mercy,2026-01-20,127.805,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1448560,Wildcat,2025-11-19,56.6135,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1069905,Jay Kelly,2025-11-14,53.4252,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1265609,War Machine,2026-02-12,472.8603,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
680493,Return to Silent Hill,2026-01-21,82.9107,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
858024,Hamnet,2025-11-26,73.8492,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1451398,Re/Member: The Last Night,2025-09-05,85.2386,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1362514,House on Eden,2025-07-25,67.6454,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
425274,Now You See Me: Now You Don't,2025-11-12,56.2225,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1242898,Predator: Badlands,2025-11-05,75.7727,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1193501,Whistle,2026-01-20,108.8578,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1234731,Anaconda,2025-12-24,57.9358,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1511417,Bāhubali: The Epic,2025-10-29,52.1843,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1290821,Shelter,2026-01-28,298.5287,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1054867,One Battle After Another,2025-09-23,194.8131,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
157336,Interstellar,2014-11-05,51.3713,,,2014,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
7451,xXx,2002-08-09,57.7042,,,2002,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1168190,The Wrecking Crew,2026-01-28,113.1466,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1159559,Scream 7,2026-02-25,77.3621,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1367642,Reminders of Him,2026-03-11,55.1298,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1387382,Hunting Season,2025-12-05,69.4423,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1284460,Alpha,2025-08-20,85.4253,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1306368,The Rip,2026-01-13,63.1365,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1316092,"""Wuthering Heights""",2026-02-11,106.4394,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1217584,Torrente for President,2026-03-13,59.9828,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
24428,The Avengers,2012-04-25,50.8195,,,2012,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
799882,The Bluff,2026-02-17,193.2064,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1368166,The Housemaid,2025-12-18,85.6764,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1584215,The Internship,2026-01-13,65.4535,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1058710,Bloodline Killer,2024-04-26,100.8622,,,2024,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1539104,JUJUTSU KAISEN: Execution,2025-11-07,49.7853,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
840464,Greenland 2: Migration,2026-01-07,138.5129,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1233413,Sinners,2025-04-16,132.4123,,,2025,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
4934,Firecreek,1968-01-24,49.7361,,,1968,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
1634301,Vanaveera,2026-02-13,102.0585,,,2026,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
929831,The Empire,2024-02-21,65.4697,,,2024,,,,,,,,,,,,,,,,,,,,,,,,6.6005,78,,No overview available.,,,,
